,Date,Dead,Injured,Location,Description,Perpetrators,Part of
158,July 8,4 (+1),9,"Jaffna, Sri Lanka","A female Liberation Tigers of Tamil Eelam (LTTE) suicide bomber killed four policemen during an attempt to assassinate Eelam People's Democratic Party member Douglas Devananda. The incident occurred at a police station, as the bomber was detected officers. When she refused a body search by two women officers, four policemen were killed when the bomber subsequently exploded. This is the tenth attempt on the minister's life. Sathyaseelan Selvakumar of Jaffna, the woman accomplice of the LTTE suicide bomber is being called for a November 17 court date. This woman is suspected of having access to Minister Devananda's office (target). The four police personnel who were killed in the bombing were Inspector M.H.D. Ekanayake, Sergeant Artygala, and Reserve Police Constables Liyanage and Chandra Jayantha. The woman suicide bomber was also assigned to assassinate Eelam People's Democratic Party (EPDP) Leader Douglas Devananda. The bomber and accomplice both had forged national Identity cards.[1]",LTTE,Sri Lankan Civil War
159,July 9,1,3,"Baghdad, Iraq","One child was killed and three people were injured when three mortar shells were fired on the al-Sadeer Hotel, but instead landed at a private home. Two of the mortars hit the home and the third hit a nearby road. The attack was targeting the hotel in Baghdad, where many foreigners stay.[1]",Islamist insurgents,Iraq War
160,July 11,5,31,"Charsuq, Afghanistan",Dozens were injured when a bomb exploded in Charsuq. The bomb was placed in a waste bin outside a security base. Those killed were mostly shopkeepers.[1],Taliban,War in Afghanistan
161,July 11,1,32,"Tel Aviv, Israel","An explosive device, packed with ball bearings and bolts, detonated in the bushes behind a bus stop in Tel Aviv, killing one person and injuring thirty-two others. The blast took place as a bus was pulling into the stop, and damaged the bus and a nearby apartment building. The Al-Aqsa Martyrs' Brigade, an al-Fatah linked group, claimed responsibility for the attack. Authorities speculate that the blast was a response to the ruling by the International Criminal Court that the Israeli West Bank barrier is illegal and should be dismantled. Note: The US government reports that this blast was caused by a suicide bomber.[1]",Al-Aqsa Martyrs' Brigade,Second Intifada
162,July 12/13,18 (+15),,"Avtury, Russia",2004 Avtury raid: A group of Chechen separatists raided the village of Avtury and engaged in a fire fight with security forces. The government claimed they lost 18 men and killed 15 rebels while the rebels claimed to have killed up to 50 members of security while losing five men.,Arab Mujahideen in Chechnya and ChRI,Second Chechen War
163,July 14,1,3,"Avtury, Russia",A bomb blast killed one person and injured three more in the village of Avtury just 30 kilometers southeast of Grozny.[1],ChRI,Second Chechen War
164,July 14,10,40,"Baghdad, Iraq","A massive suicide attack killed at least ten people and wounded at least forty others, including one US soldier. The bomber drove a car bomb near a checkpoint in Baghdad, next to the British Embassy and the headquarters of the Iraqi interim government, before blowing himself up. The car was packed with more than 1,000 pounds of explosives, the largest bomb seen in the city since the US handed over power to Iraq on June 28. Many of the casualties were Iraqis who were lined up to apply for jobs from the new interim government. Iraq's Prime Minister said that the attack was in retaliation for the government's recent arrest of over 500 suspected terrorists.[1]",Islamist insurgents,Iraq War
165,July 14,3 (+4),0,"Mosul, Iraq","Ussama Kachmula, the governor of Mosul was shot and killed by four armed militants. Kachmula and two of his bodyguards were killed by the gunmen. During the attack, guards were able to fire back at the gunmen, killing all four of them. The attack took place in the T'lul al-Baj region, about seventy miles south of Baghdad. After the assassination a curfew was imposed on the city of Mosul for a day of mourning.[1]",Islamist insurgents,Iraq War
166,July 15,10,27,"Haditha, Iraq","A large car bomb detonated in Haditha, in front of a police station and government buildings. Ten people were killed and twenty-seven other injured by the blast, which authorities believe was targeting the main police station in the city. Haditha is a former stronghold of Saddam Hussein and his followers. Police and security officers have been targeted all over the country and accused of being collaborators with US forces.[1]",Islamist insurgents,Iraq War
167,July 15,2,0,Thailand,"Two security officers, Mahazae Majeh and Boonyieng Boonperm, were killed by unknown gunmen on a motorbike. The two victims were both linked to the government's counter-insurgency unit. This is the most recent attack in southern Thailand since unrest began in January. Militants have been targeting school teachers, officials and police in the last six month, killing over 200 people.[1]",Unknown,South Thailand Insurgency
168,July 16,0,7,"Assam, India","United Liberation Front of Assam (ULFA) militants lobbed a hand grenade at a police patrol in front of a civilian hospital, injuring seven people. Three of the injured were police officers.[1]",United Liberation Front of Assam,Assam conflict
169,July 18,1,4,"Palu, Indonesia","A female priest was killed and four others injured when unknown gunmen entered the Effata church in Palu, and opened fire after the end of a sermon. The victim, Reverend Susianti Tinulele was just finishing her sermon when the gunmen entered and started spraying the premises with bullets. This attack took place near the town of Poso, where some of the worst religious violence has occurred in the last five years.[1]",Unknown,
170,July 18,2,2,"Tikrit, Iraq","A car bomb exploded near a police station in Tikrit, killing two officers and injuring two others. This was one of two explosive attacks on police in Tikrit within hours of each other.[1]",Islamist insurgents,Iraq War
171,July 18,3,1,"Amphoe Raman, Thailand","A group of four unknown attackers shot and killed three people in Raman, Yala Province. The three victims included two police officers and a railway official from the Ban Maikaen railway station. A fourth man, also a police officer, was injured in the attack. Authorities believe that the attack was perpetrated to protest police searches of houses belonging to religious leaders in the area.[1]",Unknown,South Thailand Insurgency
172,July 19,9,60,"Baghdad, Iraq","Nine people were killed and at least sixty others injured when a large fuel tanker, rigged as a car bomb, exploded as it drove toward a police station in Baghdad. The suicide blast tore a ten-meter crater in the group and damaged buildings in surrounding blocks. The incident took place in the morning as police officers were lining up to receive their daily assignments in the Seidiyeh neighborhood in Baghdad. Militants have increased attacks on police in recent weeks in order to destabilize the interim Iraqi government and to punish collaborators with the US-led coalition.[1]",Islamist insurgents,Iraq War
173,July 19,2,5,"Voronezh, Russia","An explosion occurred at a public transport stop in the center of Voronezh. Two people were reported dead and five wounded. The bus stop is near the city's Genetics Institute. The bomb was hidden in the trash bin near the bus stop. Its power was equivalent to 200-500g of TNT. The bus was damaged. This incident was similar to a February 19 explosion at the same bus stop. Although officials suspended the investigation into this incident, they decided to reopen it and believe that the two attacks may have been carried out by the same person.[1]",Unknown,Second Chechen War
174,July 20,5,50,"Kashmir, India",Deputy Chief Minister Mangat Ram Sharma escaped a second attempt on his life when militants threw a bomb at his public meeting in Anantnag. Five people were killed and around fifty other injured in the attack.[1],Islamic extremists,Kashmir conflict
175,July 23,1,3,"Grozny, Russia",A bomb was detonated near a marketplace and a mosque in the Zavodsky district of Groznyy. One person when killed and three injured was the roadside bomb exploded. Police believe the incident was an attempt to destabilize the region in the lead up to the presidential elections.[1],ChRI (suspected),Second Chechen War
176,July 25,0,6,"Neve Dekalim, Israel","Children were injured when an anti-tank rocket was fired at a community center in Neve Dekalim. The rocket was fired from Khan Yunis and came as thousands of people were gathered at the center to protest against the Gaza disengagement plan. The children were playing in the yard outside of the center when the rocket struck. The Al-Qassam Brigades, a Hamas-linked militant group, claimed responsibility for the attack.[1]",Hamas,Second Intifada
177,July 26,1,30,"Baramula, India",One person was killed and thirty-five injured when militants hurled a hand grenade inside of a hospital in Baramula. The injured were those who were hospitalized. The perpetrators probably attacked the hospital because a number of Border Security Forces had been admitted for earlier injuries.[1],Islamic extremists,Kashmir conflict
178,July 26,2,6,"Genc, Turkey","Unknown gunmen fired on a gendarmerie convoy that was on duty in Genc, in Bingol Province. One village guard and one soldier were killed and six other guards were injured in the attack. No further information is provided.[1]",Unknown,
179,July 28,6,7,"Ghanzi Province, Afghanistan","A bomb exploded at a mosque in Ghanzi Province where voter registration was taking place, killing six people. Two of the individuals were workers with the Joint Electoral Management Body of the UN. Seven other voter registration workers were injured in the attack.[1]",Taliban,War in Afghanistan
180,July 28,70,56,"Baqouba, Iraq","2004 Baqubah bombing: At least seventy people were killed and another fifty-six injured in a large suicide bombing attack in the city of Baqouba. The attack took place in the middle of the downtown part of the city, where hundreds were lined up to join the Iraqi police force. The blast wrecked nearby shops and burned vehicles. This was the deadliest attack since the US turnover of power on June 28 and also came only three days before a national conference to create an interim assembly. Authorities blame a group loyal to Abu Mussab al-Zarqawi of carrying out this attack.[1]",Islamist insurgents,Iraq War
181,July 29,0,12,"Bharatpur, Nepal",About a dozen people were injured when a pressure cooker bomb was detonated in the office building of ward one of Bharatpur municipality in Chitawan district. There were twelve people participating in a seminar when the blast occurred. Authorities are blaming the device on anti-government guerrillas.[1],Communist Party of Nepal,Nepalese civil war
182,July 30,8,50,"Jaffar, Pakistan","Eight people were killed when the prime minister designate's motorcade was attacked in the village of Jaffar. Dozens were injured in the incident, though two other officials – Finance Minister Shaukat Aziz and District Nazim (ret) Major Tahir Sadiq Khan – survived the attack. Shaukat Aziz, the apparent target, is a Pakistan Muslim League candidate and was in Jaffar to attend a public meeting. As his driver opened the door of his car, a suicide bomber threw himself at the vehicle causing the blast. The group, Al-Islambouli Brigades of Al Qaeda, a Qaeda-affiliated group, claimed responsibility for the attack.[1]",Al Qaeda-affiliate,
183,July 30,2 (+3),9,"Tashkent, Uzbekistan","American and Israeli embassy bombings in Tashkent: Three suicide bombers detonate outside the American and Israeli embassies in Tashkent and the office of the Chief Prosecutor of Uzbekistan. Two guards at the Israeli embassy were killed, seven people were wounded at the prosecutor's office, and two were wounded at the American embassy. No one of the casualties were Israeli or Americans. Islamic Jihad Union claimed responsibility.",Islamic Jihad Union,
184,August 1,12,37,"Baghdad and Mosul, Iraq","2004 Iraq churches attacks: Six bombs blew up churches in Baghdad and Mosul, killing at least twelve people and wounding many more. A car bomb was detonated outside an Armenian Church in Baghdad's upper market district. Two people were killed and twenty-two wounded in this and the other attack in the same neighborhood.[1]",Islamist insurgents,Iraq War
185,August 1,6,53,"Summar, Iraq",A suicide bomber detonated his vehicle by crashing his truck into barriers surrounding the Summar police station. The driver was killed as were three police officers. Fifty-three people were injured in the attack.[1],Islamist insurgents,Iraq War
186,August 3,70,138,"Baghdad, Iraq","A truck bomb exploded at a police recruiting center in Baquabah, where hundreds of job applicants were gathered. Seventy people were killed in the attack.[1]",Islamist insurgents,Iraq War
187,August 4,3,4,"Buri Bark, Afghanistan","The Taliban claimed responsibility for an attack that killed three people and injured four in the Burki Bark district. The bomb was placed on a bicycle parked in a bazaar, and is believed to have been aimed at the district chief.[1]",Taliban,Iraq War
188,August 5,1,11,"Sylhet, Bangladesh","A bombing occurred in two movie houses in Sylhet. The explosions were timed to take place about a half hour apart. A homeless boy was killed and eleven others injured, though it is impossible to disaggregate the numbers for each individual bomb from the reporting.[1]",HuJI (suspected),Internal conflict in Bangladesh
189,August 5,5,21,"Baghdad, Iraq","A car bomb exploded outside of a police station in Southern Baghdad, killing five people and injuring twenty-one. The explosion was believed to be the work of a suicide bomber.[1]",Islamist insurgents,Iraq War
190,August 7,0,25,Bangladesh,"A bomb in northeast Bangladesh that was planted in a Jeep parked on the premises of the Hotel Gulshan exploded, wounding twenty-five people. The blast took place only moments after a working meeting of the Bangladesh Awami League (BAL) adjourned. Most of the injured were local workers and members of the major opposition party.[1]",Unknown,Internal conflict in Bangladesh
191,August 8,9,50,"Islamabad, Pakistan","A second of two bombs exploded outside of Binoria Bakers. The second bomb, which weighed about one kilogram, was planted on a motorcycle, and exploded fifteen minutes after the first. The high number of casualties was because a number of people had gathered at the scene after the first blast.[1]",Unknown,
192,August 8,0,35,"Medellín, Colombia","A bomb exploded at a bridge in Medellín moments before a parade of antique cars was scheduled to cross it. Someone tossed a bomb, composed of one kg of R-1 explosive, off the bridge and onto a pile of rocks. Thirty-five spectators were injured in the blast, 3 of whom were seriously injured. Most injuries were caused by flying debris. It is unknown who carried out the attack or what motivated it. The car show was the closing event at the annual Fair of the Flowers.[1]",FARC (suspected),Colombian conflict
193,August 9,1,6,"Diyala, Iraq",A car bomb exploded in front of the house of the Diyala deputy governor. At least one Iraqi was killed and six others were injured. The blast appears to have been targeting the motorcade of the deputy governor.[1],Islamist insurgents,Iraq War
194,August 11,4,10,"Khan Beni Saad, Iraq","A makeshift bomb exploded in a popular marketplace in Khan Beni Saad, Iraq, killing four people and wounding ten.[1]",Islamist insurgents,Iraq War
195,August 11,2,15,"Qalandiyah, Israel","An explosion occurred at the Qalandiyah roadblock, injuring fifteen people and killing two Palestinians. The blast was caused by a car bomb. IDF forces arrested one Palestinian in connection with the attack. The attack was later claimed by al-Fatah.[1]",Fatah,Second Intifada
196,August 14,0,20,India,"About twenty people were injured when a bomb exploded in a cinema on the eve of Independence Day, which is opposed by regional separatists. A grenade was thrown from the upper balcony resulting in serious injuries.[1]",Separatists,
197,August 15,18,40,"Dhemaji, India","2004 Dhemaji school bombing: Eighteen people, mostly children and their mothers, were killed when a bomb exploded outside Dhemaji College where they had gathered for an independence day parade. The Indian government blamed the United Liberation Front of Assam (UFLA) for the attack but they denied responsibility.",United Liberation Front of Assam,Assam conflict
198,August 17,7,42,"Baghdad, Iraq",A mortar attack on Baghdad City Center killed seven people and wounded forty-two others. There was no claim of responsibility for the attack.[1],Unknown,Iraq War
199,August 19,0,14,"Farah, Afghanistan","Over a dozen people were injured, including three foreigners, a radio worker, and several Afghan policemen, when six rapid explosions occurred near a voter registration center in Farah. The attack is being blamed on the Taliban, who have vowed to disrupt national elections.[1]",Taliban,War in Afghanistan
200,August 21,1,50,"Baqubah, Iraq",An explosive charge was detonated in the al-Sabtiyah area of Ba'qubah. One Iraqi citizen was killed and fifty others injured. The intended target of the blast was not stated.[1],Unknown,Iraq War
201,August 21,0,9,"Yala, Thailand","Three bombs detonated in Yala town within twenty minutes of each other. The first of these bombs detonated in front of the Japan Karaoke restaurant, which is next door to the My House Hotel. Nine people were wounded in this blast, and six motorcycles that were parked nearby were damaged. The bomb was planted on a motorcycle that was parked in front of the restaurant. Authorities suspect Muslim insurgents with separatist ideologies. The attacks came only five days ahead of a planned visit by Prime Minister Thaksin Shinawatra to the region.[1]",Pattani separatists,South Thailand insurgency
202,August 21,10-70,20+,"Chechnya, Russia","A group of gunmen attacked a police station and several polling sites in the lead up to the elections in Chechnya. Casualty reports varied. Some estimates suggested that ten to fifteen people, including civilians, police officers, and gunmen, died in the incident, while at least twenty others were injured. Other reports placed the death toll much higher, at seventy people killed. The attack came only hours before the visit of President Putin to the region.[1]",ChRI,Second Chechen War
203,August 21,24,300+,"Dhaka, Bangladesh",2004 Dhaka grenade attack: Thirteen grenades were thrown into a crowd at an anti-terrorism rally organized by the Awami League.,Harkat-ul-Jihad-al-Islami,Internal conflict in Bangladesh
204,August 21/22,76 (+50),,"Grozny, Russia","2004 Grozny raid: Hundreds of Chechen rebels led by Dokka Umarov raided the Chechen capital, Grozny and engaged in firefights with security forces. At least 58 policemen, 5 federal soldiers, 13 civilians and 50 militants were killed.",ChRI,Second Chechen War
205,August 24,0,7,"Dortyol, Turkey","An explosive device, which had been left in front of an Is Bankasi ATM, detonated and injured seven people. The attack took place in Dortyol, in southern Hatay Province. Windows in nearby homes were shattered and a nearby bakery was damaged by the blast.[1]",Unknown,
206,August 24,2,3,"Baghdad, Iraq","The Iraqi minister of education, Sami al-Muzaffar, survived an assassination attempt. An explosive charge was set off near his car, killing two people and wounding three others.[1]",Islamist insurgents,Iraq War
207,August 24,90,0,"Tula and Rostov, Russia","2004 Russian aircraft bombings: Two airplanes that flew out of Domodedovo International Airport in Moscow were destroyed by suicide bombers, killing all 90 people on both flights.",Riyadus-Salihiin,Second Chechen War
208,August 26,74,315,"Kufa, Iraq",2004 Kufa shelling: The main mosque of Kufa was a hit by a barrage of mortar,Islamist insurgents,Iraq War
209,August 26,2,2,"Kashmir, India","Two children were killed and their parents were injured in a grenade attack on their house in Gandoh. Militants were apparently aiming at the Central Reserve Police Force, when the rocket missed the target and landed on the family's house.[1]",Islamic extremists,Kashmir conflict
210,August 26,10,0,"Najaf, Iraq",Ten Iraqi supporters of al Sistani were killed by gunmen in Najaf. No further information is available.[1],Unknown,Iraq War
211,August 26,1,25,"Sukhurin, Thailand","A remote-controlled explosive device, which was planted on a motorcycle, exploded in a crowded marketplace in Sukhurin, in Narathiwat Province. The blast killed one person and injured at least twenty-five others, including soldiers, police officers and schoolchildren. The device was most likely triggered by remote control and took place as a truck full of security officials pulled up to eat breakfast. This attack comes one day before the scheduled visit to the province of Prime Minister Thaksin Shinawatra.[1]",Pattani separatists (suspected),South Thailand Insurgency
212,August 26,5,43,"Assam, India",Two blasts on bus transportation links killed five people and injured 43 in insurgent racked Assam province.[1],United Liberation Front of Assam,Assam conflict
213,August 28,8,13,Afghanistan,Eight children were killed when a powerful bomb exploded outside of a religious school financed by the ICRC. The children were being taught modern education along with lessons from the Koran. Parts of the building completely collapsed. The bomb was planted on a motocycle placed outside of the school. Over a dozen young boys were injured.[1],Taliban,War in Afghanistan
214,August 29,10,22,"Kabul, Afghanistan","Ten people were killed in a bomb attack on the US security firm, Dyncorp, in Kabul. Three Americans, three Afghan nationals, and three Nepalese citizens died in the attack. Dyncorp provides security for Karzai, and is also located near a UN guest house. Numerous others were wounded and dozens of shops and buildings were damaged or destroyed. The bomb was apparently placed in a car and exploded by a remote device. In January 2005, an Afghan judge was arrested in connection with this attack. Authorities who were searching the judge's house, found explosives. The Taliban is reportedly responsible for this attack.[1]",Taliban,War in Afghanistan
215,August 31,1,4,"Kirkuk, Iraq","The Education Department Director General in Kirkuk, Ibrahim Isma'il, was killed when armed men opened fire on him. Two of his guards were injured as were two civilians.[1]",Islamist insurgents,Iraq War
216,August 31,11,50,"Moscow, Russia","August 2004 Moscow Metro bombing: A female suicide bomber blew herself up outside of the entrance to the Rizhshkaya subway station and the Krestovskiy shopping center. The explosive device was equivalent to 2 kg of TNT. The explosion was intended to occur inside the station, but the woman apparently was afraid of the police searching people and papers at the entrance to the station. Police believe that the incident may be connected to the airline crashes that occurred one week earlier, perhaps by one of the other two women seen leaving Khasavyurt with the women suspected of perpetrating the airliner attacks. The same group, the Islambouli Brigade of Martyrs claimed responsibility for the attack. Eleven people were killed in the attack and at least fifty wounded. The suicide bomber was identified as Roza Magayeva, the sister of Aminat Nagayev who is believed to be responsible for one of the two airliner crashes. Later, officials reported that Nikolay Kipkeyev was one of the victims of the blast. Kipkeyev was on the MVD wanted list for participation in illegal and terrorist-related activity. Officials speculate that he may have been involved somehow in the attack. In a letter following the Beslan school hostage taking, Shamil Basayev claimed responsibility for the incident.[1]",Riyadus-Salihiin,Second Chechen War
217,August 31,16 (+2),85,"Beersheba, Israel","Beersheba bus bombings: Two buses near the Beersheba municipality building were blown up by a suicide bomber. The suicide bomber took advantage of the fact that the two buses were standing together. He blew up a bomb on one bus and then exploded a second bomb on the second bus. At least fifteen people were killed and around eighty-five injured. The military wing of Hamas claimed responsibility for the attack, saying that it as a response to the assassination of Yasin, a leading Hamas official.[1]",Hamas,Second Intifada
218,September 1–3,354 (+31),783,"Beslan, Russia","Beslan school hostage crisis: A group of thirty to thirty-five (sources varied) armed Chechen separatists, including men and women, many wearing suicide bomber belts, seized a school in the Southern Russian town of Belsan taking children, parents, and teachers hostage in the school gym. At least ten of the hostage-takers appeared to be from Arab countries.[1] A series of explosions shook the school, followed by a fire which engulfed the building and a chaotic gunbattle between the hostage-takers and Russian security forces. Ultimately, at least 334 hostages were killed, including 186 children.[7][8]",Riyadus-Salihiin,Second Chechen War
219,September 4,21,30,"Kirkuk, Iraq","A suicide car-bomb exploded in front of the Iraqi Police Academy in Kirkuk. At least twenty-one people were killed and over thirty wounded in the attack. Those killed included police, military personnel, and civilians.[1]",Islamist insurgents,Iraq War
220,September 4,4,14,Colombia,Hooded gunmen opened fire on a congregation inside a church located near Colombia's border with Ecuador. Four parishioners were killed and fourteen wounded in the attack. Army officials believe the Revolutionary Armed Forces of Colombia (FARC) carried out the attack because the church had spoken out against the FARC's forced recruitment of local youth. It was reported the Protestant pastors in the region had previously received death threats.[1],FARC,Colombian conflict
221,September 7,0,1,"Sederot, Israel",A rocket was fired at the Sederot settlement. One person sustained slight injuries. The military wing of Hamas claimed responsibility for the attack.[1],Hamas,Second Intifada
222,September 9,9 (+1),182,"Jakarta, Indonesia","Australian Embassy bombing in Jakarta: Nine people and at least one suicide bomber were killed when a large car bomb detonated outside the Australian Embassy in Jakarta. Over 180 others were injured by the blast. No Australians were killed by the bomb, which authorities blame on the Jemaah Islamiyah (JI). It is uncertain if the group claimed responsibility for the attack or not. The blast shattered the windows in seven nearby buildings and left a large crater in the pavement. Authorities found traces of TNT and sulfate at the scene, the same materials that were used in the Marriott Hotel bombing in October 2002 and the Bali nightclub bombings. On September 17, police made their first arrest in this case. They took into custody a man who they believe to have transporting the explosives used in this attack. On October 1, authorities identified the suicide bomber as Heri Golun, based on DNA tests done at the scene. On November 24, police announced that they had arrested four more suspects in connection with this attack. The four men were identified as Iwan Darmawan (alias Rois), Hassan, Apuy and Sogir (alias Ansori).[1]",Jemaah Islamiyah,Terrorism in Indonesia
223,September 11,2,3,"Basra, Iraq",Two people were killed and three others wounded when a road-side explosive charge went off near the offices of the US Embassy in Basra.[1],Islamist insurgents,Iraq War
224,September 12,0,9,"Kathmandu, Nepal",Nine people were injured when a crude bomb placed on the road the Kathmandu's airport exploded. The prime minister was due to arrive from India and was expected to travel along the road. The device exploded as security officers were trying to defuse it. The bomb was a rigged liquid petroleum gas cylinder what was on a bridge. Police are blaming the Communist Party of Nepal (CPN-M) for the attack.[1],Communist Party of Nepal,Nepalese civil war
225,September 12,1,7,"Mosul, Iraq","Gunmen attacked a group of policemen in Mosul, killing one and wounding seven others.[1]",Islamist insurgents,Iraq War
226,September 14,47,114,"Baghdad, Iraq","14 September 2004 Baghdad bombing: A car bomb exploded outside of the police station on Hayfa Street in Baghdad, where a crowd of volunteers and recruits were waiting to join the police force. Forty-seven people were killed and 114 wounded in the attack. The group headed by Abu Musab al-Zarquawi, Tawhid and Jihad (Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn), claimed responsibility for the attack.[1]",Jama'at al-Tawhid wal-Jihad,Iraq War
227,September 16,0,5,"Baghdad, Iraq",Five people were wounded in a blast in Baghdad targeting an alcohol shop. Liquor stores are often the target of attacks by fundamentalists who dislike their presence.[1],Islamist insurgents,Iraq War
228,September 16,0,5,"Baqubah, Iraq",A police patrol in Baqubah was hit by an explosive device that wounded four police officers and a civilian.[1],Islamist insurgents,Iraq War
229,September 17,5,20,"Baghdad, Iraq",Five people were killed and twenty others wounded when a car bomb exploded outside the National Guard Headquarters in Baghdad. The blast targeted a large number of people who were volunteering for duty.[1],Islamist insurgents,Iraq War
230,September 18,21,67,"Kirkuk, Iraq","A suicide bomber drove his car into a crowd waiting to apply for jobs with the National Guard in Kirkuk. Guardsmen opened fire on the car before it blew up. At least twenty-one people were killed and sixty-seven wounded in the attack, all civilians.[1]",Islamist insurgents,Iraq War
231,September 20,4,7,"Baghdad, Iraq","Four students from the Faculty of Islamic Law and Jurisprudence in Baghdad University were killed and seven other wounded when an armed group opened fire on them. Baghdad University is considered a political target because of connections between the University and both the Iraqi Constitution and the political arena. Two of the members of the Iraqi governing council which drafted the Constitution were affiliated with the University, including Salama al-Khufaji, a female professor of dentistry, and Moshen Abdul Hameed, a professor at the University and the head of the Iraqi Islamic Party. Wamid Nadmi, also a professor at the University, and a spokesman for the Iraqi National Founding Congress, has been involved in the Sunni movement against the January 30 elections, on the grounds that Sunnis are at a disadvantage. Many Iraqi academics, including professors and the president of Baghdad University, have been killed since the beginning of the insurgency, some because they are Sunni and are considered holdovers from the previous regime and some because they seem to be cooperating with Americans.[1]",Islamist insurgents,Iraq War
232,September 22,5,10,"Baghdad, Iraq","A suicide car bombing occurred on a street in Baghdad, killing at least five Iraqis and wounding about ten others. The blast targeted a makeshift recruiting center for the Iraqi National Guard. The makeshift recruiting center was moved to this location after it was targeted by another car bomb in another location the day before.[1]",Islamist insurgents,Iraq War
233,September 22,2 (+1),15,"Jerusalem, Israel",French Hill attacks: A female suicide bomber detonated her bomb at the French Hill intersection in Jerusalem. She had tried to enter the protected soldier's pickup station but has been prevented. Two people were killed and fifteen injured in the attack. The blast was targeted at the large number of civilians at the station at the time of attack. The military wing of al-Fatah claimed responsibility for the attack.[1],Fatah,Second Intifada
234,September 24,2,1,"Mairtup, Chechnya, Russia","One bodyguard of the Chechen president, Bai Ali Salmanov and one of his relatives were shot dead by assailants in the village of Mairtup. Another relative was wounded in the attack. Police were investigating.[1]",Unknown,Second Chechen War
235,September 26,10,26,"Baghdad, Iraq",Ten people were killed and twenty-six wounded when a convoy of oil tanker trucks were attacked by rockets in Al-Latifiyah. The tankers belonged to the Iraqi Ministry of Oil. At least five out of the twelve trucks were damaged.[1],Islamist insurgents,Iraq War
236,September 29,2,17,"Sederot, Israel","A Qassam rocket landed between two houses in Sederot, killing two and injuring seventeen. The rocket was launched from the Jabaliya area.[1]",Hamas,Second Intifada
237,September 30,10,60,"Baghdad, Iraq","A suicide car bomber detonated his vehicle outside a crowded complex near Abu Ghraib which houses the mayor's office, a police station, and other government buildings. As many as ten people were killed and sixty wounded in the attack.[1]",Islamist insurgents,Iraq War
238,September 30,41,131,"Baghdad, Iraq","30 September 2004 Baghdad bombing: A series of bombs targeting US soldiers handing out candy to children exploded. 41 people, 35 of them children, were killed.",Islamist insurgents,Iraq War
239,September 30,7,19,"Talafar, Iraq","Seven people were killed and 19 wounded when a suicide car bomb exploded outside the Baghdad offices of the Al-Arabiya satellite Arabic television station. A group calling itself Brigades of the 1920 Revolution claimed responsibility in a statement posted on an Islamist website, whose authenticity could not be confirmed. Shortly afterwards, another unknown group called the Jihad Martyr's Companies in Iraq claimed responsibility in a competing claim..[1][9]",1920 Revolution Brigade,Iraq War
240,October 1,30,50,"Islamabad, Pakistan","A bomb exploded at a Shia mosque and killed thirty people and injured dozens of others. The explosion occurred during Friday prayers. Nearly 1,000 people were inside of the mosque at the time. Initial reports suggested that the bomb was set off by a suicide bomber. However, later investigations revealed that the bomb was set of by a remote device, that was passed on to an innocent bystander. The device later exploded. Angry Shia protesters riot in the aftermath of the attack, which came days after Pakistani security forces killed Amjad Hussain Farooq, an al-Qaeda operative.[1]",Al Qaeda (suspected),Sectarianism in Pakistan
241,October 1,7,0,"Baghdad, Iraq","The offices of three pan-Arab satellite television stations, one of which belonged to al-Arabiya, were destroyed by a car bomb explosion in Baghdad, Iraq. Al-Jazeera, whose office was not one of the three targeted, reported that a militant group calling itself the Brigades of the 1920 Revolution claimed responsibility on the Internet for the attack. Al-Arabiya, however, reported later that the Brigades had denied responsibility.[10]",1920 Revolution Brigades (suspected),Iraq War
242,October 2,13,23,"Assam, India",In Assam militants exploded a bomb that killed thirteen people and injured twenty-three. The National Democratic Front of Bodoland (NDFB) is believed to be responsible for the attack. The intended target of the attack is unclear.[1],National Democratic Front of Bodoland (suspected),Assam conflict
243,October 2,10,40,"Assam, India","A second bomb blast occurred at the busy Hong Kong market, almost simultaneously with the railway blast in Assam. The bomb killed ten people and injured at least forty others. The two blasts are thought to have been coordinated.[1]",National Democratic Front of Bodoland (suspected),Assam conflict
244,October 2,12,60,"Assam, India","Twelve people were killed and at least sixty others injured in a bomb blasts targeting a rail line in Assam. The first occurred at the Dimapur railway station, and resulted in the deaths of all twelve people. The platform was packed with people waiting to board a train to Assam's Karbi district.[1]",National Democratic Front of Bodoland (suspected),Assam conflict
245,October 3,3,25,"Kashmir, India","The National Democratic Front of Bodoland (NDFB) bombed a market in Dhubri District, killing three and wounding twenty-five people. No further information is provided.[1]",National Democratic Front of Bodoland,Assam conflict
246,October 3,1,2,Afghanistan,"One person was killed when a motorcycle bomb placed on a road exploded. Officials were supposed to have passed along the road, but the device exploded too early, killing the bomber and injuring two others.[1]",Taliban,War in Afghanistan
247,October 4,10,76,"Baghdad, Iraq","A truck driven by a suicide bomber was detonated at the entrance to the Green Zone in Baghdad. The driver targeted an Iraq police forces compound at one of the Green Zone entrances, and appears to have targeted the police. Initial reports were ten dead and more than seventy wounded.[1]",Islamist insurgents,Iraq War
248,October 4,2,17,"Baghdad, Iraq",Two people were killed and at least seventeen others injured when a car bomb explod near a hotel complex frequented by Westerners in central Baghdad. The perpetrators were unknown.[1],Islamist insurgents,Iraq War
